********************* February 18 Observing Session - beginning 21:12:39 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1645219259|Feb 18 21:20:59||0.296192
1645219261|Feb 18 21:21:01||0.306432
1645219262|Feb 18 21:21:02||0.322048
1645219264|Feb 18 21:21:04||0.296704
1645219265|Feb 18 21:21:05||0.289792
1645219266|Feb 18 21:21:06||0.283648
1645219268|Feb 18 21:21:08||0.268032
1645219269|Feb 18 21:21:09||0.292096
1645219270|Feb 18 21:21:10||0.310528
1645219272|Feb 18 21:21:12||0.297216
1645219273|Feb 18 21:21:13||0.271616
1645219275|Feb 18 21:21:15||0.300544
1645219276|Feb 18 21:21:16||0.297472
1645219277|Feb 18 21:21:17||0.289536
1645219279|Feb 18 21:21:19||0.312064
1645219280|Feb 18 21:21:20||0.310016
1645219282|Feb 18 21:21:22||0.300288
1645219283|Feb 18 21:21:23||0.293376
1645219284|Feb 18 21:21:24||0.290560
1645219286|Feb 18 21:21:26||0.311296
1645219287|Feb 18 21:21:27||0.297472
1645219288|Feb 18 21:21:28||0.267264
1645219290|Feb 18 21:21:30||0.295680
1645219291|Feb 18 21:21:31||0.290048
1645219293|Feb 18 21:21:33||0.271872
1645219294|Feb 18 21:21:34||0.355584
1645219295|Feb 18 21:21:35||0.376576
1645219297|Feb 18 21:21:37||0.294912
1645219298|Feb 18 21:21:38||0.269056
1645219300|Feb 18 21:21:40||0.296960
1645219301|Feb 18 21:21:41||0.297984
1645219302|Feb 18 21:21:42||0.316160
1645219304|Feb 18 21:21:44||0.343808
1645219305|Feb 18 21:21:45||0.326912
1645219307|Feb 18 21:21:47||0.276480
1645219308|Feb 18 21:21:48||0.296192
1645219309|Feb 18 21:21:49||0.352000
1645219311|Feb 18 21:21:51||0.270336
1645219312|Feb 18 21:21:52||0.305408
1645219313|Feb 18 21:21:53||0.272896
1645219315|Feb 18 21:21:55||0.304384
1645219316|Feb 18 21:21:56||0.296448
1645219318|Feb 18 21:21:58||0.288256
1645219319|Feb 18 21:21:59||0.335104
1645219320|Feb 18 21:22:00||0.279552
1645219322|Feb 18 21:22:02||0.292352
1645219323|Feb 18 21:22:03||0.299264
1645219325|Feb 18 21:22:05||0.261120
1645219326|Feb 18 21:22:06||0.285696
1645219327|Feb 18 21:22:07||0.268032
1645219329|Feb 18 21:22:09||0.318464
1645219330|Feb 18 21:22:10||0.301312
1645219331|Feb 18 21:22:11||0.260864
1645219333|Feb 18 21:22:13||0.323328
1645219334|Feb 18 21:22:14||0.307200
1645219336|Feb 18 21:22:16||0.275200
1645219337|Feb 18 21:22:17||0.303360
1645219338|Feb 18 21:22:18||0.282112
1645219340|Feb 18 21:22:20||0.294656
1645219341|Feb 18 21:22:21||0.288000
1645219343|Feb 18 21:22:23||0.293888
1645219344|Feb 18 21:22:24||0.281088
1645219345|Feb 18 21:22:25||0.283392
1645219347|Feb 18 21:22:27||0.289536
1645219348|Feb 18 21:22:28||0.289024
1645219350|Feb 18 21:22:30||0.279040
1645219351|Feb 18 21:22:31||0.278528
1645219352|Feb 18 21:22:32||0.302848
1645219354|Feb 18 21:22:34||0.348928
1645219355|Feb 18 21:22:35||0.321536
1645219356|Feb 18 21:22:36||0.296960
1645219358|Feb 18 21:22:38||0.297984
1645219359|Feb 18 21:22:39||0.284928
1645219361|Feb 18 21:22:41||0.354304
1645219362|Feb 18 21:22:42||0.304128
1645219363|Feb 18 21:22:43||0.288768
1645219365|Feb 18 21:22:45||0.300032
1645219366|Feb 18 21:22:46||0.297728
1645219368|Feb 18 21:22:48||0.281856
1645219369|Feb 18 21:22:49||0.291328
1645219370|Feb 18 21:22:50||0.267008
1645219372|Feb 18 21:22:52||0.351744
1645219373|Feb 18 21:22:53||0.346880
1645219374|Feb 18 21:22:54||0.272640
1645219376|Feb 18 21:22:56||0.288256
1645219377|Feb 18 21:22:57||0.296704
1645219379|Feb 18 21:22:59||0.274688
1645219380|Feb 18 21:23:00||0.277760
1645219381|Feb 18 21:23:01||0.351744
1645219383|Feb 18 21:23:03||0.271360
1645219384|Feb 18 21:23:04||0.295168
1645219386|Feb 18 21:23:06||0.270848
1645219387|Feb 18 21:23:07||0.348416
1645219388|Feb 18 21:23:08||0.303360
1645219390|Feb 18 21:23:10||0.322048
1645219391|Feb 18 21:23:11||0.270848
1645219392|Feb 18 21:23:12||0.284928
1645219394|Feb 18 21:23:14||0.318976
1645219395|Feb 18 21:23:15||0.284672
1645219397|Feb 18 21:23:17||0.298496
1645219398|Feb 18 21:23:18||0.288768
1645219399|Feb 18 21:23:19||0.292608
1645219401|Feb 18 21:23:21||0.302592
