********************* April 27 Observing Session - beginning 00:30:06 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1619483939|Apr 27 00:38:59|8|205.834558|205.830684|1.531671|1.638764|84.370029|6.223137|26.188251959038979|111.941756162660667|-129.678448|28.809728|29.308928
1619483940|Apr 27 00:39:00|9|205.839473|205.835601|1.533112|1.640201|84.293807|6.237811|26.188741797823013|111.940036415989397|-129.602965|21.980672|22.575872
1619483942|Apr 27 00:39:02|8|205.846436|205.842563|1.532067|1.639150|84.397766|6.231304|26.188997198035700|111.941956004643018|-129.706114|30.419968|30.888960
1619483943|Apr 27 00:39:03|7|205.852655|205.848782|1.532501|1.639578|84.356357|6.236907|26.187851740067622|111.940013805676855|-129.665508|37.832192|38.377216
1619483945|Apr 27 00:39:05|7|205.858973|205.855100|1.531058|1.638130|84.382745|6.221034|26.188285271280435|111.942753160283459|-129.690741|29.277952|29.825024
1619483946|Apr 27 00:39:06|10|205.864492|205.860619|1.531838|1.638905|84.339709|6.223317|26.187881449310773|111.941084852301330|-129.648405|3.619072|4.208384
1619483947|Apr 27 00:39:07|7|205.869949|205.866076|1.531563|1.638625|84.348024|6.230106|26.186779132043220|111.940300678726260|-129.657033|5.404160|5.838336
1619483949|Apr 27 00:39:09|9|205.876839|205.872967|1.532251|1.639307|84.348024|6.230106|26.188304062935188|111.940904339780161|-129.656805|21.559552|22.082816
1619483950|Apr 27 00:39:10|10|205.882963|205.879091|1.532201|1.639251|84.397766|6.231304|26.186886433314640|111.939420321022325|-129.707150|416.913664|417.364224
1619483952|Apr 27 00:39:12|8|205.889353|205.885480|1.530833|1.637878|84.320358|6.221935|26.187321571749109|111.942043420079472|-129.628637|103.234816|104.036352
1619483954|Apr 27 00:39:14|10|205.896416|205.892545|1.532024|1.639063|84.315900|6.230825|26.189077812772631|111.942113144896311|-129.624183|18.653952|19.115776
1619483955|Apr 27 00:39:15|8|205.902864|205.898991|1.530460|1.637493|84.339709|6.223317|26.186365012421504|111.941574121943646|-129.648169|30.704640|31.194112
1619483957|Apr 27 00:39:17|8|205.908191|205.904319|1.531900|1.638928|84.348024|6.230106|26.189530438318791|111.942806837332625|-129.656021|17.109760|17.568256
1619483958|Apr 27 00:39:18|10|205.915081|205.911211|1.532587|1.639609|84.348024|6.230106|26.188086140599694|111.940137256428173|-129.657127|18.229504|18.775040
1619483959|Apr 27 00:39:19|8|205.921033|205.917161|1.531581|1.638598|84.389395|6.224516|26.186118343000103|111.939545481603773|-129.698711|5.968640|6.445312
1619483961|Apr 27 00:39:21|10|205.927126|205.923255|1.531146|1.638158|84.339709|6.223317|26.187420430828652|111.941662208883642|-129.648152|19.095040|19.595520
