********************* June 01 Observing Session - beginning 02:19:51 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50
C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1622520582|Jun 01 04:09:42|54|294.959803|294.965086|5.048638|5.000608|-99.649740|6.231700|27.320935287139648|107.701486793412784|52.535369|455.591680|456.082176
1622520584|Jun 01 04:09:44|50|294.962671|294.967966|5.054715|5.006680|-99.630502|6.201866|27.329076074254452|107.700662378522424|52.515269|622.328064|622.828032
1622520586|Jun 01 04:09:46|47|294.975375|294.980661|5.050099|5.002041|-99.589465|6.229675|27.322761686384446|107.701151401588476|52.474839|497.788416|498.814720
1622520588|Jun 01 04:09:48|50|294.983359|294.988644|5.050021|5.001948|-99.556237|6.226315|27.322980572450007|107.701500367381740|52.441739|436.367360|439.759616
1622520590|Jun 01 04:09:50|49|294.991047|294.996335|5.051347|5.003260|-99.662886|6.220524|27.324370602869365|107.700916649537731|52.548062|613.454336|613.931776
1622520592|Jun 01 04:09:52|46|294.999444|295.004729|5.050275|5.002172|-99.530654|6.215796|27.323611393844672|107.701769678146519|52.416225|1542.490368|1542.983680
1622520595|Jun 01 04:09:55|52|295.010410|295.015695|5.050292|5.002169|-99.569582|6.224660|27.324767646055975|107.702952150189233|52.455557|1194.676224|1195.124736
1622520597|Jun 01 04:09:57|44|295.022653|295.027941|5.051410|5.003264|-99.657855|6.220646|27.322690947603782|107.699064012554402|52.542387|300.403456|300.870400
1622520599|Jun 01 04:09:59|51|295.030101|295.035392|5.052789|5.004630|-99.692275|6.215271|27.324292619552047|107.698619034212058|52.576524|380.926208|381.394176
1622520601|Jun 01 04:10:01|50|295.036471|295.041761|5.053022|5.004851|-99.640489|6.211509|27.325900797726412|107.699943212658056|52.525170|451.713536|452.204800
1622520603|Jun 01 04:10:03|47|295.045762|295.051047|5.050410|5.002221|-99.639545|6.229231|27.323441005544268|107.701384471034658|52.524970|840.752896|841.218816
1622520605|Jun 01 04:10:05|47|295.054958|295.060242|5.049584|5.001379|-99.597337|6.222751|27.322266166350985|107.701424290066925|52.482854|437.134592|437.633792
1622520607|Jun 01 04:10:07|46|295.063149|295.068434|5.049864|5.001643|-99.624014|6.229034|27.322576379748398|107.701319262549831|52.509469|941.908736|942.444800
1622520609|Jun 01 04:10:09|50|295.072267|295.077552|5.050287|5.002049|-99.590130|6.228638|27.322308248045985|107.700389335417270|52.475225|534.995712|535.428608
1622520611|Jun 01 04:10:11|49|295.080197|295.085482|5.050151|5.001899|-99.556908|6.225280|27.322527303814582|107.700826261181646|52.442166|179.245312|179.681536
1622520613|Jun 01 04:10:13|45|295.087333|295.092617|5.049607|5.001341|-99.556908|6.225280|27.323047204523867|107.702206545486135|52.442692|590.789632|591.295232
1622520615|Jun 01 04:10:15|45|295.095405|295.100691|5.050974|5.002693|-99.566461|6.225349|27.324185607406740|107.701295857445018|52.451802|327.076096|327.634688
1622520617|Jun 01 04:10:17|48|295.103393|295.108679|5.050812|5.002517|-99.599024|6.229742|27.324343871192355|107.701709960124262|52.484523|510.602496|511.055872
1622520619|Jun 01 04:10:19|48|295.111099|295.116383|5.049869|5.001559|-99.590130|6.228638|27.324176199086722|107.702983393184553|52.476156|184.398848|184.841728
1622520620|Jun 01 04:10:20|47|295.117933|295.123217|5.049612|5.001289|-99.559876|6.231211|27.322062637864050|107.701169259816041|52.445303|285.929728|286.387200
1622520622|Jun 01 04:10:22|49|295.124142|295.129427|5.050581|5.002247|-99.556908|6.225280|27.324289602866827|107.702008895097094|52.442532|183.876608|184.337664
1622520624|Jun 01 04:10:24|49|295.131278|295.136562|5.050035|5.001688|-99.556908|6.225280|27.324809213368248|107.703389646043163|52.443058|345.921792|346.470912
1622520625|Jun 01 04:10:25|49|295.139448|295.144733|5.050359|5.001997|-99.621019|6.225026|27.322115824124396|107.700076230084761|52.505999|348.809216|349.324800
1622520627|Jun 01 04:10:27|43|295.145552|295.150837|5.050380|5.002006|-99.587134|6.222709|27.323773255624161|107.701777434425637|52.472697|181.958144|182.707712
1622520629|Jun 01 04:10:29|48|295.152394|295.157678|5.050104|5.001718|-99.556908|6.225280|27.324690668790502|107.703160492865791|52.442973|149.832448|150.328832
1622520630|Jun 01 04:10:30|48|295.158974|295.164258|5.049969|5.001571|-99.565792|6.226384|27.322845703293524|107.701439211655199|52.451278|95.875584|96.498176
1622520632|Jun 01 04:10:32|43|295.162951|295.168235|5.050023|5.001617|-99.549016|6.221564|27.326078823049166|107.704736195873167|52.435629|881.576192|882.076672
1622520634|Jun 01 04:10:34|45|295.175161|295.180444|5.049492|5.001064|-99.525981|6.228888|27.322904534877139|107.702233231866614|52.411785|251.961856|256.169216
1622520636|Jun 01 04:10:36|51|295.182290|295.187574|5.050397|5.001956|-99.556237|6.226315|27.324416817762298|107.702423340617685|52.442021|270.170368|270.706944
1622520637|Jun 01 04:10:37|48|295.190459|295.195744|5.050777|5.002321|-99.620359|6.226063|27.321762313730055|107.699064611796345|52.504952|151.288832|151.702784
1622520639|Jun 01 04:10:39|45|295.196301|295.201586|5.051129|5.002661|-99.663746|6.219591|27.323836863217345|107.700693446671437|52.548866|706.269184|706.780928
1622520641|Jun 01 04:10:41|49|295.205669|295.210953|5.050336|5.001851|-99.547356|6.225207|27.322558689458042|107.700574791379793|52.432510|192.035840|192.728832
1622520643|Jun 01 04:10:43|49|295.211362|295.216649|5.051988|5.003493|-99.650069|6.216443|27.325626075796883|107.701244506249921|52.535296|1099.438336|1099.892736
1622520645|Jun 01 04:10:45|50|295.222335|295.227618|5.050179|5.001664|-99.565792|6.226384|27.322485600797314|107.700739293353493|52.451017|466.676480|467.235584
1622520647|Jun 01 04:10:47|48|295.231047|295.236330|5.050184|5.001652|-99.621019|6.225026|27.322229398498607|107.700464334976658|52.506149|158.926592|159.363584
1622520649|Jun 01 04:10:49|51|295.235580|295.240866|5.051482|5.002942|-99.644148|6.217320|27.325902874735029|107.702310702716858|52.529789|463.560960|464.001024
1622520651|Jun 01 04:10:51|50|295.244949|295.250232|5.050286|5.001728|-99.589465|6.229675|27.324349575259895|107.702524650002232|52.475294|203.503616|203.985408
1622520652|Jun 01 04:10:52|49|295.252105|295.257389|5.050754|5.002183|-99.620359|6.226063|27.322494315869911|107.699866434516579|52.505230|299.377408|299.813120
1622520654|Jun 01 04:10:54|48|295.259006|295.264291|5.051438|5.002855|-99.621019|6.225026|27.324022796822312|107.700412256985913|52.506012|195.505408|195.938304
1622520656|Jun 01 04:10:56|46|295.265007|295.270295|5.052693|5.004099|-99.678593|6.212117|27.326595285840462|107.701174071997201|52.563729|324.175104|324.594944
1622520657|Jun 01 04:10:57|52|295.272975|295.278257|5.049461|5.000851|-99.568789|6.226519|27.321629015969755|107.700948182591631|52.454155|275.156224|275.632384
1622520659|Jun 01 04:10:59|49|295.279332|295.284615|5.050301|5.001680|-99.587134|6.222709|27.323660699007782|107.701780344989615|52.472706|462.452736|462.874624
1622520661|Jun 01 04:11:01|45|295.287211|295.292494|5.050439|5.001803|-99.589465|6.229675|27.324102153332468|107.702031003695552|52.475109|191.076864|191.649024
1622520663|Jun 01 04:11:03|47|295.293915|295.299198|5.050336|5.001688|-99.551062|6.231762|27.325238411760033|107.703375968827686|52.437179|376.508160|376.946688
1622520664|Jun 01 04:11:04|50|295.301701|295.306986|5.051505|5.002842|-99.531871|6.223915|27.323400228713346|107.699659654661914|52.416600|1422.490624|1422.994944
1622520667|Jun 01 04:11:07|51|295.313824|295.319105|5.049797|5.001112|-99.535858|6.228180|27.322538701039036|107.701382020014265|52.421341|228.733696|229.454592
1622520669|Jun 01 04:11:09|52|295.320161|295.325443|5.049996|5.001299|-99.511776|6.232194|27.324147241709525|107.702758035953465|52.397712|1108.414720|1108.922880
1622520671|Jun 01 04:11:11|51|295.330838|295.336122|5.050910|5.002194|-99.559929|6.229142|27.323075391770423|107.700233474548270|52.444912|191.512320|192.021248
1622520673|Jun 01 04:11:13|54|295.338228|295.343510|5.050342|5.001612|-99.590344|6.231324|27.323394250022439|107.701438926765519|52.475794|197.010944|197.556224
1622520675|Jun 01 04:11:15|49|295.345445|295.350727|5.050281|5.001538|-99.526982|6.230799|27.324184041741496|107.702358733106124|52.412755|221.091840|221.547264
1622520676|Jun 01 04:11:16|47|295.351447|295.356729|5.050274|5.001520|-99.579951|6.220869|27.322848401649438|107.700972704014205|52.465248|138.583552|139.257600
1622520678|Jun 01 04:11:18|51|295.357790|295.363071|5.050207|5.001441|-99.535858|6.228180|27.324271962851697|107.702564751815032|52.421708|457.156352|457.601280
1622520680|Jun 01 04:11:20|51|295.366509|295.371790|5.049880|5.001098|-99.590344|6.231324|27.323784493885974|107.702557280866927|52.476222|395.365120|395.798016
1622520682|Jun 01 04:11:22|50|295.373418|295.378700|5.050654|5.001859|-99.599194|6.228708|27.325367813992067|107.703023197236604|52.485159|1415.649024|1416.118528
1622520684|Jun 01 04:11:24|56|295.382959|295.388242|5.050612|5.001799|-99.564737|6.215351|27.324473476607338|107.702153396223196|52.450407|1315.744256|1316.220416
1622520687|Jun 01 04:11:27|55|295.396232|295.401512|5.049699|5.000861|-99.559929|6.229142|27.323313422657769|107.702343064567685|52.445752|861.336576|862.629120
1622520689|Jun 01 04:11:29|53|295.407938|295.413220|5.050673|5.001814|-99.619162|6.220433|27.321531416852253|107.698983472536383|52.503737|1100.721664|1101.170688
1622520692|Jun 01 04:11:32|52|295.417425|295.422708|5.050726|5.001849|-99.608036|6.226089|27.323791094316199|107.701264647953494|52.493390|598.885120|599.319552
1622520694|Jun 01 04:11:34|54|295.425881|295.431162|5.050543|5.001651|-99.603230|6.232979|27.323594582726578|107.701339692680520|52.488627|760.613120|761.056768
1622520696|Jun 01 04:11:36|56|295.434739|295.440020|5.050293|5.001385|-99.603230|6.232979|27.323057794595144|107.701162996306735|52.488590|1306.121472|1306.626304
1622520699|Jun 01 04:11:39|55|295.445689|295.450970|5.050380|5.001452|-99.618511|6.220115|27.324273391223855|107.702299654945932|52.504254|862.635264|863.104000
1622520701|Jun 01 04:11:41|53|295.454908|295.460189|5.050043|5.001097|-99.583969|6.225128|27.323413734247332|107.701919344776329|52.469613|874.558208|875.059968
1622520703|Jun 01 04:11:43|56|295.465402|295.470684|5.050747|5.001782|-99.595163|6.224439|27.322332756635817|107.699707303989300|52.479980|811.200256|811.622144
1622520706|Jun 01 04:11:46|59|295.474248|295.479529|5.050496|5.001514|-99.595163|6.224439|27.324853391051036|107.702729097901070|52.481042|290.838016|291.301888
1622520707|Jun 01 04:11:47|57|295.482456|295.487735|5.049622|5.000625|-99.603230|6.232979|27.321317732029797|107.700374634567765|52.488383|607.714560|608.159744
1622520709|Jun 01 04:11:49|62|295.489595|295.494875|5.050075|5.001065|-99.551062|6.231762|27.322514322930772|107.700929455879475|52.436363|616.676352|617.099520
1622520711|Jun 01 04:11:51|55|295.498784|295.504066|5.051153|5.002127|-99.595163|6.224439|27.322640702655264|107.699405168801263|52.479837|331.665408|332.142848
1622520713|Jun 01 04:11:53|51|295.505919|295.511200|5.050611|5.001571|-99.595163|6.224439|27.323162729577604|107.700784363430316|52.480363|531.139328|531.575040
1622520715|Jun 01 04:11:55|51|295.514458|295.519739|5.051022|5.001967|-99.547063|6.227487|27.323309373814688|107.700305468086285|52.432059|902.502144|902.963456
1622520717|Jun 01 04:11:57|53|295.523302|295.528582|5.050397|5.001325|-99.555925|6.224872|27.322527229329403|107.700449307658687|52.441030|553.501696|554.025728
1622520719|Jun 01 04:11:59|54|295.532531|295.537814|5.051548|5.002459|-99.571104|6.223482|27.322673428433660|107.698832937391089|52.455545|154.140416|154.626560
1622520721|Jun 01 04:12:01||1215.195904
1622520724|Jun 01 04:12:04||1638.563584
1622520727|Jun 01 04:12:07||1357.760512
1622520730|Jun 01 04:12:10||1928.088320
1622520733|Jun 01 04:12:13||1503.293440
1622520736|Jun 01 04:12:16||1477.716224
1622520739|Jun 01 04:12:19||1588.328192
1622520742|Jun 01 04:12:22||1630.045696
1622520745|Jun 01 04:12:25||1369.816064
1622520748|Jun 01 04:12:28||1850.112768
1622520751|Jun 01 04:12:31||1461.616896
1622520754|Jun 01 04:12:34|55|295.676115|295.681394|5.050693|5.001339|-99.455222|6.222840|27.324024859641071|107.701560156057155|52.340680|1527.284992|1527.741440
1622520757|Jun 01 04:12:37||1601.306112
1622520760|Jun 01 04:12:40||1659.131648
1622520763|Jun 01 04:12:43||1570.452992
1622520766|Jun 01 04:12:46||1435.945472
1622520769|Jun 01 04:12:49||1959.288064
1622520772|Jun 01 04:12:52||1250.405888
1622520775|Jun 01 04:12:55|56|295.764044|295.769319|5.049143|4.999627|-99.579848|6.218614|27.322831892638021|107.702693455591756|52.465844|1729.087744|1729.583616
1622520778|Jun 01 04:12:58||1606.120192
1622520781|Jun 01 04:13:01||1529.466880
1622520784|Jun 01 04:13:04||1622.488832
1622520787|Jun 01 04:13:07||1626.908672
1622520790|Jun 01 04:13:10||1647.122688
1622520793|Jun 01 04:13:13|57|295.840135|295.845412|5.050629|5.000973|-99.428955|6.224416|27.323197172903882|107.700792159305990|52.314155|1159.564544|1160.218112
1622520796|Jun 01 04:13:16||2002.053632
1622520799|Jun 01 04:13:19||1161.323264
1622520802|Jun 01 04:13:22||1622.727424
1622520805|Jun 01 04:13:25||1885.412608
1622520808|Jun 01 04:13:28||1535.931136
1622520811|Jun 01 04:13:31||1456.338176
1622520814|Jun 01 04:13:34|62|295.925641|295.930919|5.051561|5.001748|-99.510843|6.227412|27.325461509875687|107.701727716881123|52.396277|365.006080|365.473024
1622520816|Jun 01 04:13:36||1603.088384
1622520819|Jun 01 04:13:39||1643.937536
1622520822|Jun 01 04:13:42||1730.943488
1622520825|Jun 01 04:13:45||1487.424768
1622520828|Jun 01 04:13:48|59|295.984284|295.989558|5.049758|4.999836|-99.579995|6.231344|27.324124662384868|107.703100212738832|52.466072|1837.697536|1838.151168
1622520831|Jun 01 04:13:51|63|295.998227|296.003500|5.049442|4.999494|-99.537921|6.235772|27.322881309696513|107.702286477582504|52.423748|1360.787456|1361.341696
1622520834|Jun 01 04:13:54|65|296.009479|296.014755|5.050810|5.000842|-99.458313|6.220303|27.324747984950676|107.702135810562055|52.343958|256.765184|257.296384
1622520835|Jun 01 04:13:55|64|296.017279|296.022554|5.050350|5.000368|-99.551155|6.219500|27.321791399849758|107.699751317987378|52.436025|585.029120|585.573376
1622520837|Jun 01 04:13:57|66|296.024967|296.030241|5.049936|4.999939|-99.523280|6.224642|27.321997222280572|107.700603346282577|52.408482|758.311168|758.743040
1622520840|Jun 01 04:14:00|64|296.034258|296.039533|5.050469|5.000455|-99.487901|6.219699|27.324727126949064|107.702638333436880|52.373752|97.801984|98.297600
1622520841|Jun 01 04:14:01|73|296.041369|296.046642|5.049799|4.999772|-99.504767|6.221512|27.322130815862735|107.700953584761038|52.390102|805.580800|806.056704
1622520843|Jun 01 04:14:03|66|296.050035|296.055309|5.050667|5.000624|-99.457443|6.218490|27.322495473440675|107.700000847816355|52.342369|406.066944|406.519808
1622520845|Jun 01 04:14:05|72|296.056988|296.062263|5.050642|5.000587|-99.505651|6.223343|27.323502631964267|107.701091201739558|52.390953|343.296768|343.757568
1622520847|Jun 01 04:14:07|63|296.065778|296.071053|5.051025|5.000954|-99.473108|6.220007|27.323446541628364|107.700445054177237|52.358152|83.037440|83.502592
1622520848|Jun 01 04:14:08|73|296.071162|296.076435|5.050254|5.000173|-99.536142|6.224554|27.322041890584877|107.700160611283550|52.421161|412.176384|412.727040
1622520850|Jun 01 04:14:10|64|296.078226|296.083500|5.050234|5.000140|-99.520451|6.223038|27.322970874932942|107.701162719345035|52.405816|594.173696|594.606592
1622520852|Jun 01 04:14:12|68|296.087070|296.092343|5.049978|4.999867|-99.520451|6.223038|27.322440276988829|107.701001738591700|52.405785|212.392960|212.874752
1622520854|Jun 01 04:14:14|62|296.094504|296.099779|5.050953|5.000829|-99.505898|6.218580|27.323777480168538|107.700901213316698|52.391105|393.975552|394.465024
1622520856|Jun 01 04:14:16|68|296.101047|296.106321|5.050590|5.000454|-99.520451|6.223038|27.324853793394411|107.702584576413173|52.406271|401.490688|402.045440
1622520858|Jun 01 04:14:18|63|296.109891|296.115164|5.050333|5.000181|-99.520451|6.223038|27.324322973013501|107.702423829313133|52.406240|327.409664|327.917056
1622520859|Jun 01 04:14:19|58|296.117403|296.122677|5.050524|5.000358|-99.485083|6.218087|27.322019290851443|107.699722242412292|52.369927|137.228800|137.710080
1622520861|Jun 01 04:14:21|68|296.123951|296.129224|5.050210|5.000032|-99.489970|6.221820|27.323125685393933|107.701360835128440|52.375406|472.087808|472.560384
1622520863|Jun 01 04:14:23|65|296.131732|296.137005|5.050033|4.999841|-99.565944|6.219184|27.323424788965454|107.701945653905909|52.451598|281.802752|282.251776
1622520864|Jun 01 04:14:24|65|296.138010|296.143283|5.050307|5.000103|-99.505651|6.223343|27.322078605282940|107.700118296795054|52.390651|107.645440|108.091904
1622520866|Jun 01 04:14:26|62|296.144647|296.149920|5.050434|5.000217|-99.538082|6.224325|27.323419420514178|107.701325141175957|52.423484|60.403712|60.864256
1622520867|Jun 01 04:14:27|67|296.150176|296.155450|5.051218|5.000992|-99.473108|6.220007|27.322967333756580|107.699647328918900|52.357859|87.844352|88.853760
1622520869|Jun 01 04:14:29|67|296.157410|296.162682|5.050077|4.999837|-99.505651|6.223343|27.323009888296681|107.701445144256013|52.391128|128.033024|128.539648
1622520871|Jun 01 04:14:31|63|296.163392|296.168665|5.050401|5.000151|-99.446265|6.221791|27.324962961652332|107.702988365662222|52.332242|285.168384|285.649152
1622520872|Jun 01 04:14:32|66|296.171185|296.176457|5.049670|4.999405|-99.538082|6.224325|27.321826724056749|107.700833704619754|52.423388|75.529728|75.953664
1622520874|Jun 01 04:14:34|69|296.177439|296.182712|5.050280|5.000003|-99.581637|6.220701|27.323776039783688|107.701934398997139|52.467263|124.791808|125.261056
1622520875|Jun 01 04:14:35|66|296.183305|296.188577|5.050385|5.000098|-99.524169|6.226459|27.322616427240952|107.700560059820063|52.409314|139.301376|139.778816
1622520877|Jun 01 04:14:37|71|296.190709|296.195980|5.050064|4.999763|-99.562274|6.216195|27.323092681278496|107.701551881705896|52.447790|127.093760|127.545600
1622520878|Jun 01 04:14:38|66|296.196166|296.201439|5.050312|5.000002|-99.553035|6.226372|27.322327937729803|107.700370217657806|52.438121|124.367360|124.798464
1622520880|Jun 01 04:14:40|67|296.203174|296.208447|5.050332|5.000009|-99.520451|6.223038|27.323325469268426|107.701382233244573|52.405882|124.206336|124.634624
1622520882|Jun 01 04:14:42|66|296.209104|296.214376|5.050284|4.999949|-99.599444|6.224347|27.325063838937083|107.703274275170799|52.485530|75.117824|75.567872
1622520883|Jun 01 04:14:43|61|296.215562|296.220835|5.050668|5.000322|-99.553991|6.221096|27.323660623963981|107.701217181047724|52.439334|94.393600|94.834688
1622520885|Jun 01 04:14:45|68|296.222000|296.227273|5.050539|5.000180|-99.490721|6.221299|27.324972666880115|107.702787703122937|52.376616|272.179968|272.683008
1622520886|Jun 01 04:14:46|68|296.229401|296.234673|5.050428|5.000057|-99.592741|6.217394|27.322545633267488|107.700419485916370|52.477833|272.004608|272.482304
1622520888|Jun 01 04:14:48|63|296.236550|296.241823|5.050715|5.000330|-99.520451|6.223038|27.323621344251265|107.701104249170058|52.405750|126.305536|126.807040
1622520889|Jun 01 04:14:49|65|296.242247|296.247520|5.050996|5.000600|-99.503825|6.216473|27.322703996807164|107.699713599979646|52.388620|189.254912|189.690368
1622520891|Jun 01 04:14:51|63|296.248928|296.254200|5.050557|5.000150|-99.536142|6.224554|27.323628523420602|107.701353368079012|52.421542|271.923712|272.436736
1622520893|Jun 01 04:14:53|62|296.255949|296.261221|5.050487|5.000066|-99.520451|6.223038|27.324554629982117|107.702430031579297|52.406228|639.760896|640.274688
1622520895|Jun 01 04:14:55|69|296.264794|296.270065|5.050228|4.999791|-99.520451|6.223038|27.324022370286798|107.702271004259231|52.406198|273.863936|274.365696
1622520897|Jun 01 04:14:57|62|296.272565|296.277836|5.050135|4.999684|-99.614241|6.224038|27.324385932584669|107.702793886423535|52.500177|186.427904|186.898176
1622520898|Jun 01 04:14:58|68|296.278350|296.283622|5.050720|5.000258|-99.523280|6.224642|27.323610698974456|107.701085664936770|52.408573|601.690112|602.198528
1622520900|Jun 01 04:15:00|64|296.287307|296.292579|5.050699|5.000221|-99.562274|6.216195|27.323157886427758|107.700644075015120|52.447417|191.770624|192.240640
1622520902|Jun 01 04:15:02|64|296.294139|296.299412|5.051081|5.000591|-99.514963|6.213174|27.324530699883681|107.701491892781220|52.400361|288.233728|288.722944
1622520903|Jun 01 04:15:03|69|296.301483|296.306754|5.050099|4.999594|-99.571586|6.229501|27.321550993491726|107.699886345440774|52.456526|469.600256|470.046720
1622520905|Jun 01 04:15:05|63|296.309299|296.314571|5.050730|5.000211|-99.568941|6.223128|27.322375075200952|107.699778404412555|52.453784|138.686208|139.187712
1622520907|Jun 01 04:15:07|67|296.315143|296.320415|5.050882|5.000353|-99.475924|6.221608|27.324312605707348|107.701569371816504|52.361367|270.097408|270.540544
1622520909|Jun 01 04:15:09|67|296.322876|296.328146|5.049947|4.999404|-99.505651|6.223343|27.324131221901872|107.702816324566854|52.391612|271.204864|271.673856
1622520910|Jun 01 04:15:10|66|296.329559|296.334829|5.050126|4.999571|-99.538976|6.226158|27.322424352354695|107.700757052914227|52.424212|138.914560|139.461120
1622520912|Jun 01 04:15:12|66|296.336562|296.341832|5.050033|4.999465|-99.523280|6.224642|27.323348321485469|107.701865901298149|52.408906|448.387584|448.819712
1622520914|Jun 01 04:15:14|66|296.343986|296.349256|5.050000|4.999418|-99.505651|6.223343|27.324006258633744|107.702604295359905|52.391534|273.243904|273.726976
1622520915|Jun 01 04:15:15|67|296.351138|296.356409|5.050449|4.999854|-99.568783|6.220780|27.322141321516142|107.699965617862034|52.453717|604.446976|624.612096
1622520917|Jun 01 04:15:17|66|296.360001|296.365271|5.050019|4.999408|-99.553035|6.226372|27.321478885758893|107.699932630972896|52.437998|341.167872|341.598208
1622520919|Jun 01 04:15:19|63|296.367461|296.372732|5.050950|5.000325|-99.599444|6.224347|27.322766982060408|107.699849094294905|52.484290|266.275328|266.829056
1622520921|Jun 01 04:15:21|68|296.374063|296.379334|5.051155|5.000517|-99.513225|6.224511|27.324186344944060|107.701019125000414|52.398454|165.018880|165.553152
1622520923|Jun 01 04:15:23|69|296.380898|296.386169|5.050551|4.999902|-99.520451|6.223038|27.324885543850904|107.702677016543575|52.406306|461.373952|461.880832
1622520924|Jun 01 04:15:24|69|296.388472|296.393742|5.050148|4.999484|-99.534422|6.221329|27.322132259389477|107.700418587373832|52.419540|139.672576|140.110848
1622520926|Jun 01 04:15:26|70|296.395022|296.400293|5.050720|5.000044|-99.536142|6.224554|27.323839922152182|107.701324882729352|52.421517|470.839040|471.315712
1622520928|Jun 01 04:15:28|69|296.403130|296.408400|5.050187|4.999496|-99.541893|6.229684|27.323658226344023|107.701954098662739|52.427535|131.398912|132.631552
1622520929|Jun 01 04:15:29|67|296.409527|296.414797|5.050169|4.999467|-99.517623|6.221425|27.322026660354055|107.700275173666626|52.402690|281.831680|282.317824
1622520931|Jun 01 04:15:31|69|296.416825|296.422095|5.050582|4.999866|-99.599444|6.224347|27.323080316362827|107.700742739305682|52.484632|277.992704|285.122048
1622520933|Jun 01 04:15:33|66|296.423805|296.429075|5.050472|4.999743|-99.583738|6.222827|27.324009431579228|107.701883598896828|52.469328|203.200000|203.688448
1622520934|Jun 01 04:15:34|66|296.430141|296.435411|5.050494|4.999754|-99.505651|6.223343|27.322449219052515|107.700218718797188|52.390667|267.633664|268.080384
1622520936|Jun 01 04:15:36|66|296.438476|296.443746|5.050447|4.999692|-99.628189|6.222332|27.322433196829763|107.700273264508695|52.513229|200.390144|200.834816
1622520938|Jun 01 04:15:38|71|296.444656|296.449926|5.050976|5.000209|-99.551155|6.219500|27.324381510234275|107.701497907773316|52.436566|450.402560|450.897152
1622520940|Jun 01 04:15:40|68|296.451676|296.456946|5.050804|5.000024|-99.536366|6.219804|27.325239360290659|107.702658968416046|52.422191|257.292544|257.735936
1622520941|Jun 01 04:15:41|68|296.459227|296.464496|5.050419|4.999625|-99.550326|6.218101|27.322515603375031|107.700403072681837|52.435413|259.480064|259.901696
1622520943|Jun 01 04:15:43|67|296.465502|296.470771|5.050355|4.999550|-99.536142|6.224554|27.323991200698963|107.702043241046070|52.421798|451.625728|452.462592
1622520945|Jun 01 04:15:45|68|296.474182|296.479451|5.050512|4.999691|-99.520451|6.223038|27.323861823650070|107.701667455824335|52.405963|262.221056|262.688512
1622520947|Jun 01 04:15:47|71|296.480839|296.486108|5.050221|4.999388|-99.508476|6.224947|27.324903711622589|107.703203164781968|52.394544|265.515520|265.976320
1622520948|Jun 01 04:15:48|68|296.488435|296.493704|5.050339|4.999493|-99.550943|6.224241|27.322489568529427|107.700497597428310|52.436070|266.841344|267.284736
1622520950|Jun 01 04:15:50|64|296.495291|296.500560|5.050565|4.999706|-99.520451|6.223038|27.323738148626816|107.701455948715477|52.405885|573.652992|574.068736
1622520952|Jun 01 04:15:52|70|296.503590|296.508859|5.050583|4.999708|-99.562274|6.216195|27.323791529353720|107.701485297592612|52.447717|256.095488|256.511232
1622520954|Jun 01 04:15:54|62|296.510641|296.515910|5.050482|4.999595|-99.628189|6.222332|27.324676089782045|107.702564078336295|52.514013|246.377472|246.826752
1622520955|Jun 01 04:15:55|61|296.517476|296.522744|5.050330|4.999430|-99.595586|6.218997|27.322633327907702|107.700662161006491|52.480771|192.506880|192.946688
1622520957|Jun 01 04:15:57|66|296.524274|296.529542|5.050472|4.999560|-99.548321|6.217893|27.323867695475371|107.701734502294613|52.433861|125.040384|125.495808
1622520958|Jun 01 04:15:58|59|296.531241|296.536510|5.050747|4.999822|-99.599444|6.224347|27.322018395746376|107.699379361763363|52.484148|244.942848|245.465344
1622520960|Jun 01 04:16:00|64|296.537157|296.542426|5.050566|4.999630|-99.523280|6.224642|27.323676720420465|107.701390238745944|52.408692|247.436288|247.958272
1622520962|Jun 01 04:16:02|64|296.544954|296.550223|5.050708|4.999757|-99.583550|6.227584|27.324181193217960|107.701700456576162|52.469055|186.227200|186.766592
1622520963|Jun 01 04:16:03|64|296.551988|296.557257|5.050512|4.999549|-99.568742|6.227894|27.321963454192172|107.699681992822335|52.453573|499.793408|500.264192
1622520965|Jun 01 04:16:05|60|296.559377|296.564646|5.051226|5.000250|-99.565111|6.217797|27.323155836229716|107.699831689178907|52.449925|477.888512|478.294528
1622520967|Jun 01 04:16:07|69|296.567464|296.572732|5.050459|4.999467|-99.520451|6.223038|27.322829788439300|107.700669686743240|52.405625|508.302336|508.740608
1622520969|Jun 01 04:16:09|66|296.574951|296.580219|5.050235|4.999230|-99.551155|6.219500|27.323311393444186|107.701517660621306|52.436643|737.225216|737.685760
